ID, Dup Num, CVE, Date Opened, Status, Severity, Dup Dates
111088,0,2012-3595,Jan 23 2012 20:30:16,Fixed,High
371514,0,,May 08 2014 20:10:37,WontFix,High
429740,0,,Nov 03 2014 18:58:55,Fixed,High
324324,0,,Nov 28 2013 16:08:59,Fixed,High
408739,0,,Aug 28 2014 20:39:50,Fixed,High
630749,0,,Jul 22 2016 21:31:02,Fixed,High
324321,0,,Nov 28 2013 16:03:41,Fixed,High
324322,0,,Nov 28 2013 16:04:53,WontFix,High
135697,1,,Jul 04 2012 03:06:16,Fixed,High,Jul 11 2012 02:37:41,7
135698,0,2012-3607,Jul 04 2012 03:07:16,Fixed,High
309453,0,,Oct 20 2013 14:27:23,Fixed,High
309452,0,,Oct 20 2013 14:26:11,Fixed,High
617648,2,2016-5167,Jun 06 2016 16:38:46,Verified,High,Jun 30 2016 15:17:06,Jul 07 2016 00:49:53,24,31
113174,0,,Feb 08 2012 07:17:34,Fixed,High
162032,0,,Nov 20 2012 16:44:35,Fixed,High
113178,0,,Feb 08 2012 07:50:55,Fixed,High
647948,1,,,,,Sep 28 2016 18:29:12
414100,0,,Sep 14 2014 15:39:32,Fixed,High
94025,0,,Aug 24 2011 07:42:19,Fixed,High
57501,0,,Oct 01 2010 01:02:15,Fixed,High
124356,0,2012-2823,Apr 20 2012 05:25:14,Fixed,High
80116,0,,Apr 21 2011 02:20:12,Fixed,High
582697,0,,Jan 30 2016 06:02:58,Fixed,High
138192,0,,Jul 20 2012 03:04:47,Fixed,High
582695,0,,Jan 30 2016 05:59:30,Fixed,High
295638,1,,,,,Sep 21 2013 16:42:43
138196,0,,Jul 20 2012 04:02:14,Fixed,High
343265,0,,Feb 12 2014 21:52:29,Fixed,High
70244,0,,Jan 20 2011 14:26:37,Fixed,High
232393,0,,Apr 17 2013 14:42:45,Fixed,High
54880,0,,Sep 08 2010 22:08:33,Fixed,High
271221,0,,Aug 11 2013 04:40:51,Fixed,High
460938,0,,Feb 23 2015 16:17:15,Fixed,High
582699,0,,Jan 30 2016 06:06:43,Fixed,High
63444,0,,Nov 17 2010 06:13:40,Fixed,High
174020,0,,Feb 04 2013 16:17:33,Fixed,High
616907,0,2016-1710,Jun 02 2016 21:37:39,Fixed,High
163291,0,,Nov 29 2012 04:48:53,Fixed,High
313435,0,,Oct 30 2013 21:58:20,Fixed,High
122760,0,,Apr 10 2012 05:52:49,Fixed,High
101835,0,,Oct 26 2011 22:41:25,Fixed,Critical
660760,0,,Oct 31 2016 02:58:34,Verified,High
357174,0,,Mar 27 2014 15:05:40,Fixed,High
597333,0,,Mar 23 2016 18:33:12,Verified,High
570561,0,,Dec 17 2015 02:29:48,Fixed,High
445285,1,,Dec 28 2014 21:24:47,Fixed,High,Jan 12 2015 17:13:22,15
157071,0,,Oct 21 2012 23:00:16,Fixed,High
68170,0,,Dec 28 2010 18:48:11,Fixed,High
176660,0,,Feb 16 2013 06:23:45,WontFix,High
93788,0,2011-2876,Aug 22 2011 20:48:12,Fixed,High
120944,2,2012-2818,Mar 29 2012 19:34:36,Fixed,High,Mar 20 2012 16:05:43,May 06 2012 05:28:30,-9,38
