ID, Dup Num, CVE, Date Opened, Status, Severity, Dup Dates
577030,1,,,,,Jan 15 2016 18:30:42
602273,1,,,,,Apr 11 2016 15:05:46
138583,1,,,,,Aug 02 2012 14:31:35
387375,1,,,,,Jul 24 2014 07:19:52
329725,1,,,,,Jan 17 2014 16:26:49
105458,1,,,,,Jan 14 2012 04:45:23
573332,1,,,,,Jan 28 2016 22:04:31
112834,1,,,,,Feb 11 2012 10:09:27
604666,1,,,,,Apr 19 2016 10:03:19
412206,1,,,,,Apr 10 2015 00:06:59
568885,1,,,,,Dec 11 2015 03:11:49
516251,1,,,,,Jul 24 2015 23:08:29
585701,1,,,,,Jan 30 2016 05:50:37
245713,1,,,,,May 31 2013 16:41:33
624214,1,,,,,Jul 19 2016 22:47:38
661003,1,,,,,Aug 17 2016 18:39:47
498022,3,,,,,Jun 15 2015 08:40:18,Jun 18 2015 11:41:52,Jun 22 2015 06:32:14
504786,2,,,,,Jun 26 2015 20:40:39,Jun 29 2015 04:03:38
57167,2,,,,,Oct 03 2010 05:23:09,Oct 04 2010 16:38:54
658322,1,,,,,Oct 21 2016 09:58:37
138488,1,,,,,Jul 21 2012 13:42:44
428137,1,,,,,Nov 02 2014 08:39:31
411154,3,,,,,Sep 05 2014 15:46:32,Sep 08 2014 06:53:42,Sep 08 2014 15:35:30
594953,1,,,,,Mar 18 2016 13:38:59
430533,3,,,,,Jan 20 2015 04:06:01,Feb 25 2015 16:40:46,Mar 18 2015 19:19:21
360433,1,,,,,Mar 23 2014 15:14:35
352656,1,,,,,Mar 14 2014 18:59:45
313293,2,,,,,Dec 22 2013 23:41:35,May 31 2014 17:48:46
361555,1,,,,,Apr 09 2014 05:06:28
375678,1,,,,,May 21 2014 21:03:31
171830,1,,,,,Jan 29 2013 03:09:45
664036,4,,,,,Nov 10 2016 11:02:03,Nov 11 2016 03:59:03,Nov 11 2016 04:00:30,Nov 11 2016 04:02:14
173465,1,,,,,Feb 11 2013 21:21:22
423030,1,,,,,Oct 17 2014 04:10:18
485922,1,,,,,May 08 2015 14:00:12
642072,1,,,,,Aug 26 2016 05:05:01
597562,1,,,,,Mar 30 2016 11:13:35
582717,2,,,,,Jan 30 2016 06:35:53,Feb 13 2016 08:20:57
497588,1,,,,,Jul 02 2015 13:44:55
327363,1,,,,,Feb 01 2014 04:27:28
161662,1,,,,,Nov 22 2012 11:25:14
393602,1,,,,,May 08 2014 15:11:52
95934,1,,,,,Aug 17 2011 20:06:17
661856,1,,,,,Nov 03 2016 09:58:58
505346,1,,,,,Jun 29 2015 04:00:41
459805,1,,,,,Feb 22 2015 04:52:49
338848,1,,,,,Feb 01 2014 04:31:05
598722,2,,,,,Mar 31 2016 20:43:47,Apr 03 2016 15:11:57
356905,1,,,,,Mar 27 2014 20:03:09
437458,1,,,,,Dec 14 2014 16:30:53
602276,1,,,,,Apr 11 2016 14:54:13
344266,1,,,,,Feb 21 2014 14:36:57
646347,1,,,,,Sep 18 2016 16:42:54
503565,3,,,,,Jul 12 2015 21:57:47,Jul 13 2015 13:29:48,Jul 26 2015 20:43:24
506089,1,,,,,Jul 01 2015 07:59:38
289680,1,,,,,Nov 25 2013 06:56:00
599001,1,,,,,Mar 30 2016 11:08:45
491739,1,,,,,Jun 03 2015 16:22:27
85408,1,,,,,Jun 28 2011 12:42:47
627455,3,,,,,Jun 28 2016 16:20:58,Jun 30 2016 15:22:07,Jul 12 2016 12:45:12
385366,1,,,,,Sep 14 2014 15:35:55
502378,1,,,,,Jun 24 2015 05:11:01
123484,1,,,,,Apr 15 2012 03:50:38
610988,1,,,,,Sep 01 2016 00:45:11
411237,1,,,,,Sep 05 2014 15:45:50
